Name,Institution_Type,Address,District_City,State,Pincode,AICTE_Permanent_ID,Women_Only,Minority_Institution,Courses_Offered,Website,Source
SRI NARAYAN SINGH MAHAVIDYALAYA,Private-Self Financing,VILLAGE - KAKARGHATA,Hardoi,Uttar Pradesh,,1-44753788626,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC SIKANDRA RAO HATHTRAS,Government,"LODHEPUR PATTI DEVARI (VILL), SIKANDRA RAO (TEHSIL), HATHRAS (DIST), UP",Hathras,Uttar Pradesh,,1-44754014724,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAYA INSTITUTE OF PHARMACY,Private-Self Financing,MAYA INSTITUTE MANDU ROAD SHOKHNA HATHRAS (UP),Hathras,Uttar Pradesh,,1-44638699949,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
R B GAUTAM POLYTECHNIC,Private-Self Financing,"HATHRAS AGRA ROAD, SADABAD",Hathras,Uttar Pradesh,,1-44638489487,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BUNDELKHAND COMPUTER EDUCATION,Private-Self Financing,TULSI NAGAR STATION ROAD ORAI,Jalaun,Uttar Pradesh,,1-44644565775,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC MADHOGARH,Government,PRINCIPAL GOVERNMENT POLYTECHNIC MADHOGARH (JALAUN)UP,Jalaun,Uttar Pradesh,,1-44640261247,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC,ORAI(JALAUN)",Government,"PRINCIPAL GOVERNMENT POLYTECHNIC,ORAI (JALAUN)",Jalaun,Uttar Pradesh,,1-44641539095,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACHARY BALDEV POLYTECHNIC COLLEGE,Private-Self Financing,"VILLAGE- KOPA, POST- PATARAHI, GHAZIPUR",Jaunpur,Uttar Pradesh,,1-44638565708,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
B R GAUTAM POLYTECHNIC INSTITUTE,Private-Self Financing,RAJAPUR,Jaunpur,Uttar Pradesh,,1-44638377882,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BAKHSHI POLYTECHNIC,Private-Self Financing,"MUJAR MACHHLI SHAHAR JAUNPUR, U.P.",Jaunpur,Uttar Pradesh,,1-44640576797,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GAJRAJ SINGH POLYTECHNIC,Private-Self Financing,"AHARPUR, JAMUNIYA, JAUNPUR",Jaunpur,Uttar Pradesh,,1-44638335665,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVT. POLYTECHNIC, JAUNPUR",Government,JAGDISHPUR VARANASI ROAD,Jaunpur,Uttar Pradesh,,1-44640402477,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
K.L. POLYTECHNIC,Private-Self Financing,BHARAURA MALHANI PO:MALHANI BAZAR,Jaunpur,Uttar Pradesh,,1-44641075533,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MICROTEK COLLEGE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,"VILL-MURTZABAD, PO-MUFTIGANJ, KERAKAT, JAUNPUR",Jaunpur,Uttar Pradesh,,1-44644464021,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NIRMALA DEVI POLYTECHNIC COLLEGE,Private-Self Financing,NAYANSAND NEAR GAURABASHAHAPUR THANA,Jaunpur,Uttar Pradesh,,1-44638436257,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PRASAD INSTITUTE OF TECHNOLOGY,Private-Self Financing,VILLAGE: PUNCH-HATIA TALUK: SADAR DISTRICT:JAUNPUR STATE: UTTER-PRADESH,Jaunpur,Uttar Pradesh,,1-44643304294,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PRASAD POLYTECHNIC,Private-Self Financing,PUNCH-HATTIA  SADAR,Jaunpur,Uttar Pradesh,,1-44639375245,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
RADHA VALLABH INSTITUTE OF TECHNOLOGY,Private-Self Financing,EMAMPUR KUTHAN,Jaunpur,Uttar Pradesh,,1-44638760981,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VEER BAHADUR SINGH PURVANCHAL UNIVERSITY,State Government University,"VBS PURVANCHAL UNIVERSITY CAMPUS, SHAHGANJ ROAD, JAUNPUR",Jaunpur,Uttar Pradesh,,1-44643204492,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VIJAY PRATAP INSTITUTE OF TECHNOLOGY,Private-Self Financing,NEAR ZAFRABAD POLICE STATION VARANASI ROAD JAUNPUR-222180,Jaunpur,Uttar Pradesh,222180,1-44640879838,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY JHANSI,Government,KANPUR ROAD JHANSI,Jhansi,Uttar Pradesh,,1-44643214607,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"DEPARTMENT OF BUSINESS ADMINISTRATION, INSTITUTE OF MANAGEMENT STUDIES",Government,"BUNDELKHAND UNIVERSITY CAMPUS, KANPUR ROAD",Jhansi,Uttar Pradesh,,1-44641256437,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Private-Self Financing,HASTINAPUR POST AMBABAY,Jhansi,Uttar Pradesh,,1-44638270977,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"GOVERNMENT POLYTECHNIC , JHANSI",Government,GWALIOR ROAD JHANSI,Jhansi,Uttar Pradesh,,1-44640895793,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVT.GIRLS POLYTECHNIC JHANSI,Government,GWALIOR ROAD JHANSI,Jhansi,Uttar Pradesh,,1-44641298308,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GYANSTHALY MAHAVIDHYALAYA,Private-Self Financing,VILLAGE- BACHAWALI BLOCK-BADAGAON KANPUR ROAD JHANSI,Jhansi,Uttar Pradesh,,1-44638890830,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,Government,"BUNDELKHAND UNIVERSITY, KANPUR ROAD, JHANSI",Jhansi,Uttar Pradesh,,1-44640350610,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF ECONOMICS AND FINANCE,Government,"INSTITUTE OF ECONOMICS AND FINANCE KANPUR RAOD BUNDELKHAND UNIVERSITY, JHANSI",Jhansi,Uttar Pradesh,,1-44641385798,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF ENGINEERING & TECHNOLOGY,Government,"BUNDELKHAND UNIVERSITY CAMPUS, KANPUR ROAD, JHANSI",Jhansi,Uttar Pradesh,,1-44640460483,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
INSTITUTE OF TOURISM AND HOTEL MANAGEMENT,State Government University,BUNDELKHAND UNIVERSITY JHANSI 284128,Jhansi,Uttar Pradesh,284128,1-44645388295,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MODERN COLLEGE,Private-Self Financing,"DEPARTMENT OF ENGINEERING & TECHNOLOGY, KOCHABHAWAR, KANPUR ROAD",Jhansi,Uttar Pradesh,,1-44643830920,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MODERN COLLEGE JHANSI,Private-Self Financing,"KOCHABHAWAR, KANPUR ROAD",Jhansi,Uttar Pradesh,,1-44638473785,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MODERN COLLEGE OF ENGINEERING,Private-Self Financing,"VILLAGE-KOCHHABHANWAR, POST-KOCHHABHANWAR, JHANSI",Jhansi,Uttar Pradesh,,1-44638129571,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SR GROUP OF INSTITUTIONS,Private-Self Financing,"16 KM. GWALIOR ROAD, AMBABAI, JHANSI",Jhansi,Uttar Pradesh,,1-44638860943,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
LANDMARK TECHNICAL CAMPUS,Private-Self Financing,VILLAGE DIDAULI DELHI MORADABAD ROAD,Jyotiba Phule Nagar,Uttar Pradesh,,1-44639397506,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHARAJA AGRASEN COLLEGE OF ENGG. &  TECHNOLOGY,Private-Self Financing,"10 TH KM. BAGARPUR MAFEE,  GAJRAULA, DHANAURA, J.P NAGAR-244236 (UP)",Jyotiba Phule Nagar,Uttar Pradesh,244236,1-44642688287,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC CHHIBRAMAU KANNAUJ,Government,CHHIBRAMAU KANNAUJ,Kannauj,Uttar Pradesh,,1-44784894704,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHAMAYA IT POLYTECHNIC KANNAUJ,Government,"MMIT ANAUGI, KANNAUJ",Kannauj,Uttar Pradesh,,1-44638236055,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"MANYAVAR KASHI RAM GOVERNMENT POLYTECHNIC, KANNAUJ",Government,"DURGA NAGAR, TIRWA KAHS, KANNAUJ",Kannauj,Uttar Pradesh,,1-44639392308,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
RAJKIYA ENGINEERING COLLEGE KANNAUJ,Government,"TIRWA, KANNAUJ",Kannauj,Uttar Pradesh,,1-44638334660,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SUBHASH ACADEMY,Private-Self Financing,"AWAS VIKAS COLONY, NEAR WATER TANK",Kannauj,Uttar Pradesh,,1-44644896007,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ALLENHOUSE BUSINESS SCHOOL,Private-Self Financing,"176 B, KULGAON ROAD, ROOMA, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44643853536,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ALLENHOUSE INSTITUTE OF MANAGEMENT,Private-Self Financing,"176, KULGAON ROAD, ROOMA, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44638222089,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ALLENHOUSE INSTITUTE OF TECHNOLOGY,Private-Self Financing,"PLOT  NO. 176, ROOMA, KULGAON ROAD, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44641686426,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
APOLLO INSTITUTE OF PROFESSIONAL STUDIES,Private-Self Financing,VILL SUNDHELA BLOCK SARSAUL,Kanpur Nagar,Uttar Pradesh,,1-44645010448,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
APOLLO INSTITUTE OF TECHNOLOGY,Private-Self Financing,"VILL. SUNDHELA, BLOCK SARSAUL, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44641645249,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS BUSINESS SCHOOL,Private-Self Financing,VILL- HATHIPUR,Kanpur Nagar,Uttar Pradesh,,1-44638204020,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS INSTITUTE OF DIPLOMA ENGINEERING,Private-Self Financing,VILL-SALEMPUR POS-MAHARAJPUR TEHSIL-NARWAL DIST-KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44638277336,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS INSTITUTE OF FASHION TECHNOLOGY,Private-Self Financing,VILL-HATHIPUR TEHSIL KANPUR SADAR,Kanpur Nagar,Uttar Pradesh,,1-44638760485,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS INSTITUTE OF HIGHER EDUCATION,Private-Self Financing,"HATHIPUR, MAHARAJPUR, KANPUR NAGAR-209402",Kanpur Nagar,Uttar Pradesh,209402,1-44644340687,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS INSTITUTE OF PLANNING AND MANAGEMENT,Private-Self Financing,VILL- HATHIPUR  TEHSIL- KANPUR SADAR,Kanpur Nagar,Uttar Pradesh,,1-44638777279,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AXIS INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Private-Self Financing,"VILL-HATHIPUR, KANPUR SADAR",Kanpur Nagar,Uttar Pradesh,,1-44638486158,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BANSHI COLLEGE OF MANAGEMENT AND TECHNOLOGY,Private-Self Financing,MOHMADPUR BITHOOR KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44640250295,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
BHAGWANTI EDUCATION CENTRE DEGREE COLLEGE,Private-Self Financing,130 MANDHANA BITHOOR ROAD GRAM SANDHILA,Kanpur Nagar,Uttar Pradesh,,1-44643813338,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY,State Government University,KALYANPUR,Kanpur Nagar,Uttar Pradesh,,1-44637341999,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
COLLEGE OF MANAGEMENT STUDIES,Private-Self Financing,"12/481 MCROBERT GANJ , KANPUR  UP",Kanpur Nagar,Uttar Pradesh,,1-44643240860,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
COLLEGE OF MANAGEMENT STUDIES,Private-Self Financing,"12/481 MCROBERT GANJ , KANPUR  UP",Kanpur Nagar,Uttar Pradesh,,1-44644993322,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYANAND ACADEMY OF MANAGEMENT STUDIES,Private-Self Financing,"N BLOCK, GOVIND NAGAR, KANPUR-208006",Kanpur Nagar,Uttar Pradesh,208006,1-44643254147,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYANAND ACADEMY OF MANAGEMENT STUDIES KANPUR,Private-Self Financing,N-BLOCK GOVIND NAGAR KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44644483483,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYANAND DEENANATH MAHAVIDYALAYA,Private-Self Financing,NH#86 KANPUR SAGAR HIGHWAY  AFZALPUR RAMAIPUR BIDHNOO  KANPUR NAGAR 209214,Kanpur Nagar,Uttar Pradesh,209214,1-44644420823,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DAYANAND DINANATH COLLEGE OF MANAGEMENT,Private-Self Financing,"NH-86, RAMAIPUR AFZALPUR HAMIRPUR ROAD KANPUR UP",Kanpur Nagar,Uttar Pradesh,,1-44642843557,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"DR. AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P. KANPUR",Government,"AWADHPURI, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44640312597,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"DR. AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Government,AWADHPURI KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44639336683,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DR. GAUR HARI SINGHANIA INSTITUTE OF MANAGEMENT AND RESEARCH,Private-Self Financing,KAMLA NAGAR KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44642862253,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DR. VIRENDRA SWARUP INSTITUTE OF COMPUTER STUDIES,Private-Self Financing,"810, W-1, BLOCK, JUHI, SAKET NAGAR KANPUR - 208014",Kanpur Nagar,Uttar Pradesh,208014,1-44643272157,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DR. VIRENDRA SWARUP INSTITUTE OF PROFESSIONAL STUDIES,Private-Self Financing,"PLOT NO. 337, K-BLOCK, KIDWAI NAGAR,KANPUR-208011",Kanpur Nagar,Uttar Pradesh,208011,1-44642579311,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
FACULTY OF ENGINEERING AND TECHNOLOGY,Private-Self Financing,"G.T. ROAD, MANDHANA,KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44642824627,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT LEATHER INSTITUTE KANPUR,Government,"11/208 A SOUTERGANJ PARWATI BAGLA ROAD, KANPUR 208001",Kanpur Nagar,Uttar Pradesh,208001,1-44640338881,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC KANPUR,Government,"GT ROAD, VIKAS NAGAR, NEAR GURUDEV PALACE",Kanpur Nagar,Uttar Pradesh,,1-44641085881,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVT.POLYTECHNIC GHATAMPUR,Government,RAMSARI ROAD GHATAMPUR KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44639539848,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"HARCOURT BUTLER TECHNICAL UNIVERSITY, KANPUR",State Government University,NAWABGANJ,Kanpur Nagar,Uttar Pradesh,,1-44643637092,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
JAGRAN COLLEGE OF ARTS SCIENCE AND COMMERCE,Private-Self Financing,620 W BLOCK SAKET NAGAR KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44644179112,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
JAGRAN INSTITUTE OF MANAGEMENT,Private-Self Financing,"620-W BLAOCK, JUHI SAKET NAGAR, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44640366394,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
JUHARI DEVI GIRLS P. G. COLLEGE,Govt aided,145 CANAL ROAD,Kanpur Nagar,Uttar Pradesh,,1-44644732788,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
KANPUR INSTITUTE OF TECHNOLOGY,Private-Self Financing,A-1 UPSIDC INDUSTRIAL AREA ROOMA,Kanpur Nagar,Uttar Pradesh,,1-44640949895,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
KRISHNA INSTITUTE OF TECHNOLOGY 351,Private-Self Financing,"GRAM AMILIHA,POST TATIYAGANJ",Kanpur Nagar,Uttar Pradesh,,1-44643244881,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHARANA INSTITUTE OF PROFESSIONAL STUDIES,Private-Self Financing,"KALYANPUR- BITHOOR ROAD, BAIKUNTHPUR, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44641693321,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHARANA PRATAP COLLEGE OF PROFESSIONAL STUDIES,Private-Self Financing,"BAIKUNTHPUR, KALYANPUR- BITHOOR ROAD",Kanpur Nagar,Uttar Pradesh,,1-44644507211,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHARANA PRATAP ENGINEERING COLLEGE,Private-Self Financing,"430, INDRAPURI, SHARDA NAGAR, KANPUR U.P.",Kanpur Nagar,Uttar Pradesh,,1-44641611455,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MGA INSTITUTE OF POLYTECHNIC,Private-Self Financing,"ARAZI NO- 945 PURWAMEER, BLOCK SARSAUL, KANPUR-209402",Kanpur Nagar,Uttar Pradesh,209402,1-44638243707,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MSME TECHNOLOGY CENTRE,Government,INDUSTRIAL ESTATE KALPI ROAD KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44638888665,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NARAINA COLLEGE OF ENGINEERRING & TECHNOLOGY,Private-Self Financing,"1423/1, RATANPUR, PANKI, KANPUR-208020 (UP) INDIA",Kanpur Nagar,Uttar Pradesh,208020,1-44642428415,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NARAINA COLLEGE OF MANAGEMENT,Private-Self Financing,GANGAGANJ PANKI KANPUR NAGAR,Kanpur Nagar,Uttar Pradesh,,1-44644352051,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
NATIONAL SUGAR INSTITUTE,Government,KALYANPUR,Kanpur Nagar,Uttar Pradesh,,1-44645385351,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PSIT COLLEGE OF HIGHER EDUCATION,Private-Self Financing,"KANPUR-AGRA-DELHI NATIONAL HIGHWAY-(NH-19), BHAUTI, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44644378371,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Private-Self Financing,"NH-2 KANPUR AGRA NATIONAL HIGHWAY,BHAUTI, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44641790375,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PT PRITHI NATH P.G. COLLEGE,Private-Self Financing,"96/12 MAHATAMA GANDHI MARG, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44645075782,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PT SAHDEV PRASAD PRASAD TRIVEDI MAHAVIDYALAYA,Private-Self Financing,RAMAIPUR KANPUR NAGAR,Kanpur Nagar,Uttar Pradesh,,1-44644686781,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
S N SEN B V P G COLLEGE KANPUR,Private-Self Financing,16/96 THE MALL ROAD,Kanpur Nagar,Uttar Pradesh,,1-44787055513,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
S. J. MAHAVIDYALAYA,Private-Self Financing,RAMAIPUR,Kanpur Nagar,Uttar Pradesh,,1-44643946975,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI OMAR VAISH VIDYAPEETH L.P.D.J. MAHAVIDYALAYA,Private-Self Financing,"D-143, SHYAM NAGAR, KANPUR",Kanpur Nagar,Uttar Pradesh,,1-44796259913,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI RAMDEVI RAMDAYAL TRIPATHI MAHILAPOLYTECHNIC SAKET NAGAR KANPUR,Govt aided,781 W-1 SAKET NAGAR,Kanpur Nagar,Uttar Pradesh,,1-44641536455,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SHRI SHAKTI DEGREE COLLEGE,Private-Self Financing,VILLAGE SANKHAHARI POST HARBASPUR,Kanpur Nagar,Uttar Pradesh,,1-44645009014,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
SIGNA INSTITUTE OF PROFESSIONAL STUDIES,Private-Self Financing,VILLEGE & POST DHARMANGADPUR NEAR SACHENDI THANA KANPUR NAGAR,Kanpur Nagar,Uttar Pradesh,,1-44644083071,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE KANPUR,Government,11/208 SOUTER GANJ KANPUR,Kanpur Nagar,Uttar Pradesh,,1-44640581118,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VIKRAMAJEET SINGH SANATAN DHARMA COLLEGE,Govt aided,3A/50,Kanpur Nagar,Uttar Pradesh,,1-44644508026,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VISION COLLEGE OF MANAGEMENT,Private-Self Financing,NH2 HATHIPUR MAHARAJPUR,Kanpur Nagar,Uttar Pradesh,,1-44644751769,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
VISION INSTITUTE OF TECHNOLOGY,Private-Self Financing,"HATHIPUR, MAHRAJPUR NH-2 KNAPUR",Kanpur Nagar,Uttar Pradesh,,1-44641885787,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT POLYTECHNIC SORON,Government,"KASGANJ - BAREILY ROAD, SORON",Kanshi Ram Nagar,Uttar Pradesh,,1-44641106614,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHAMAYA POLYTECHNIC FOR INFORMATION TECHNOLOGY,Government,KASGANJ,Kashiramnagar (Kashganj),Uttar Pradesh,,1-44638595789,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
DR. RIZVI COLLEGE OF ENGINEERING,Private-Self Financing,"DR. RIZVI EDUCATIONAL COMPLEX, KARARI, KAUSHAMBI",Kaushambi,Uttar Pradesh,,1-44642215393,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
M.V.R.DEGREE COLLEGE,Private-Self Financing,KASIYA SIRATHU KAUSHAMBI 212201,Kaushambi,Uttar Pradesh,212201,1-44644934539,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MADHU VACHASPATI INSTITUTE OF ENGIENEERING & TECHNOLOGY,Private-Self Financing,"VILL: RASOOLABAD, KOILAHA, G.T.ROAD, KAUSHAMBI",Kaushambi,Uttar Pradesh,,1-44641690066,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MADHU VACHASPATI SCHOOL OF MANAGEMENT,Private-Self Financing,"KOILAHA,G.T.ROAD, PURAMUFTI, KAUSHAMBI",Kaushambi,Uttar Pradesh,,1-44639741086,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
MAHAMAYA POLYTECHNIC OF INFORMATION  TECHNOLOGY,Government,KATHARA  CHAIL  KAUSHAMBI,Kaushambi,Uttar Pradesh,,1-44638195256,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
